總計,汽車,大客車,大貨車,小客車,小貨車,特種車,機車
98年 1月底,"383,872","128,509",767,"2,618","113,001","11,066","1,057","255,363"
98年 2月底,"383,852","128,412",766,"2,612","112,946","11,045","1,043","255,440"
98年 3月底,"383,796","128,398",751,"2,605","112,952","11,056","1,034","255,398"
98年 4月底,"383,854","128,230",745,"2,589","112,855","11,013","1,028","255,624"
98年 5月底,"383,906","128,354",740,"2,569","112,973","11,041","1,031","255,552"
98年 6月底,"383,710","128,447",742,"2,451","113,168","11,053","1,033","255,263"
98年 7月底,"383,686","128,639",741,"2,438","113,367","11,063","1,030","255,047"
98年 8月底,"384,157","128,815",742,"2,433","113,531","11,082","1,027","255,342"
98年 9月底,"385,260","128,951",741,"2,437","113,664","11,083","1,026","256,309"
98年 10月底,"386,704","129,024",744,"2,426","113,743","11,087","1,024","257,680"
98年 11月底,"388,170","129,445",760,"2,432","114,078","11,141","1,034","258,725"
98年 12月底,"392,140","129,802",773,"2,423","114,352","11,227","1,027","262,338"
99年底,"397,821","132,626",886,"2,443","117,140","11,153","1,004","265,195"
99年 1月底,"392,257","130,017",767,"2,413","114,592","11,230","1,015","262,240"
99年 2月底,"392,148","130,088",747,"2,415","114,682","11,230","1,014","262,060"
99年 3月底,"391,486","130,142",728,"2,415","114,757","11,236","1,006","261,344"
99年 4月底,"391,666","130,336",718,"2,403","114,978","11,247",990,"261,330"
99年 5月底,"391,949","130,665",721,"2,401","115,285","11,272",986,"261,284"
99年 6月底,"392,822","131,025",798,"2,407","115,523","11,308",989,"261,797"
99年 7月底,"393,542","131,331",817,"2,416","115,787","11,325",986,"262,211"
99年 8月底,"394,875","131,575",857,"2,423","116,124","11,181",990,"263,300"
99年 9月底,"396,516","131,784",884,"2,421","116,310","11,176",993,"264,732"
99年 10月底,"397,230","132,079",877,"2,429","116,571","11,204",998,"265,151"
99年 11月底,"397,835","132,380",881,"2,434","116,675","11,392",998,"265,455"
99年 12月底,"397,821","132,626",886,"2,443","117,140","11,153","1,004","265,195"
100年底,"409,105","136,608",951,"2,486","120,801","11,316","1,054","272,497"
100年 1月底,"399,050","133,492",886,"2,452","117,963","11,187","1,004","265,558"
100年 2月底,"399,703","133,738",887,"2,457","118,183","11,206","1,005","265,965"
100年 3月底,"401,010","134,084",893,"2,461","118,514","11,211","1,005","266,926"
100年 4月底,"401,723","134,322",892,"2,463","118,697","11,260","1,010","267,401"
100年 5月底,"402,570","134,501",902,"2,464","118,834","11,290","1,011","268,069"
100年 6月底,"403,397","134,847",913,"2,466","119,190","11,264","1,014","268,550"
100年 7月底,"404,921","135,252",915,"2,477","119,586","11,262","1,012","269,669"
100年 8月底,"405,714","135,380",925,"2,469","119,710","11,256","1,020","270,334"
100年 9月底,"407,309","135,679",946,"2,474","119,951","11,273","1,035","271,630"
100年 10月底,"408,155","135,989",950,"2,481","120,232","11,281","1,045","272,166"
100年 11月底,"408,932","136,285",949,"2,488","120,502","11,297","1,049","272,647"
100年 12月底,"409,105","136,608",951,"2,486","120,801","11,316","1,054","272,497"
101年底,"411,113","139,554",993,"2,330","123,653","11,351","1,227","271,559"
101年 1月底,"410,013","137,148",957,"2,474","121,378","11,293","1,046","272,865"
101年 2月底,"410,597","137,217",967,"2,464","121,439","11,308","1,039","273,380"
101年 3月底,"408,737","137,362",979,"2,460","121,581","11,312","1,030","271,375"
101年 4月底,"408,683","137,484",966,"2,444","121,728","11,311","1,035","271,199"
101年 5月底,"407,687","137,748",968,"2,441","121,986","11,313","1,040","269,939"
101年 6月底,"408,275","138,117",980,"2,445","122,322","11,338","1,032","270,158"
101年 7月底,"408,744","138,514",983,"2,446","122,728","11,331","1,026","270,230"
101年 8月底,"409,151","138,616",979,"2,460","122,800","11,351","1,026","270,535"
101年 9月底,"410,060","138,681",981,"2,341","122,789","11,358","1,212","271,379"
101年 10月底,"410,394","138,855",983,"2,334","122,970","11,353","1,215","271,539"
101年 11月底,"410,513","139,101",987,"2,334","123,208","11,356","1,216","271,412"
101年 12月底,"411,113","139,554",993,"2,330","123,653","11,351","1,227","271,559"
102年底,"403,547","142,463","1,005","2,274","126,555","11,405","1,224","261,084"
102年 1月底,"411,596","139,752",991,"2,321","123,876","11,337","1,227","271,844"
102年 2月底,"411,942","139,839",994,"2,305","123,967","11,340","1,233","272,103"
102年 3月底,"412,419","140,014",991,"2,259","124,178","11,358","1,228","272,405"
102年 4月底,"412,730","140,098","1,005","2,272","124,255","11,345","1,221","272,632"
102年 5月底,"413,521","140,416","1,008","2,251","124,569","11,369","1,219","273,105"
102年 6月底,"414,431","140,814","1,014","2,265","124,927","11,390","1,218","273,617"
102年 7月底,"414,947","141,183","1,012","2,263","125,307","11,379","1,222","273,764"
102年 8月底,"409,081","141,117",992,"2,256","125,271","11,368","1,230","267,964"
102年 9月底,"403,784","141,237",993,"2,264","125,383","11,369","1,228","262,547"
102年 10月底,"403,918","141,571","1,010","2,263","125,681","11,393","1,224","262,347"
102年 11月底,"404,122","141,905","1,012","2,263","125,993","11,411","1,226","262,217"
102年 12月底,"403,547","142,463","1,005","2,274","126,555","11,405","1,224","261,084"
103年底,"402,255","145,805","1,036","2,293","129,682","11,567","1,227","256,450"
103年 1月底,"404,391","142,736","1,007","2,279","126,817","11,415","1,218","261,655"
103年 2月底,"404,559","142,730","1,011","2,278","126,801","11,420","1,220","261,829"
103年 3月底,"405,033","142,906","1,005","2,269","126,980","11,430","1,222","262,127"
